nodeid,rdtimestamp,rssi,snr
tinovi-04,1742811300,-72.0,7.3
tinovi-05,1742811300,-79.0,9.4
tinovi-06,1742811300,-79.0,9.0
milesight-01,1742812200,-77.0,9.3
milesight-02,1742812200,-80.0,10.8
tinovi-01,1742812200,-80.5,8.9
tinovi-02,1742812200,-71.0,7.9
tinovi-03,1742812200,-87.0,9.5
tinovi-04,1742812200,-72.0,9.6
tinovi-05,1742812200,-79.0,9.5
tinovi-06,1742812200,-78.0,7.0
milesight-01,1742813100,-76.5,9.6
milesight-02,1742813100,-78.5,9.9
tinovi-01,1742813100,-83.0,10.3
tinovi-02,1742813100,-71.0,7.8
tinovi-03,1742813100,-88.0,8.1
tinovi-04,1742813100,-73.0,9.3
tinovi-05,1742813100,-76.5,8.6
tinovi-06,1742813100,-77.0,9.3
milesight-01,1742814000,-80.0,10.5
milesight-02,1742814000,-86.0,8.8
tinovi-01,1742814000,-82.0,8.8
tinovi-02,1742814000,-71.0,10.0
tinovi-03,1742814000,-87.0,9.0
tinovi-04,1742814000,-71.5,8.4
tinovi-05,1742814000,-79.0,9.3
tinovi-06,1742814000,-76.0,7.8
milesight-01,1742814900,-75.5,9.1
milesight-02,1742814900,-83.5,7.6
tinovi-01,1742814900,-81.0,9.8
tinovi-02,1742814900,-72.5,9.3
tinovi-03,1742814900,-89.5,9.4
tinovi-04,1742814900,-74.0,8.8
tinovi-05,1742814900,-77.5,9.4
tinovi-06,1742814900,-77.0,8.9
milesight-01,1742815800,-75.0,7.5
milesight-02,1742815800,-87.0,9.8
tinovi-01,1742815800,-81.0,10.3
tinovi-02,1742815800,-74.0,9.0
tinovi-03,1742815800,-91.0,9.5
tinovi-04,1742815800,-72.0,8.4
tinovi-05,1742815800,-79.0,9.3
tinovi-06,1742815800,-80.0,10.0
milesight-01,1742816700,-77.5,8.9
milesight-02,1742816700,-78.5,9.6
tinovi-01,1742816700,-79.0,8.0
tinovi-02,1742816700,-72.0,8.1
tinovi-03,1742816700,-88.5,8.6
tinovi-04,1742816700,-72.0,9.3
tinovi-05,1742816700,-79.0,8.8
tinovi-06,1742816700,-80.0,8.3
milesight-01,1742817600,-76.0,9.5
milesight-02,1742817600,-81.0,9.0
tinovi-01,1742817600,-85.0,10.4
tinovi-02,1742817600,-69.0,9.5
tinovi-03,1742817600,-86.0,8.0
tinovi-04,1742817600,-74.0,10.1
tinovi-05,1742817600,-79.0,11.0
tinovi-06,1742817600,-78.0,9.3
milesight-01,1742818500,-77.0,9.8
milesight-02,1742818500,-89.5,9.3
tinovi-01,1742818500,-81.0,7.5
tinovi-02,1742818500,-70.0,8.8
tinovi-03,1742818500,-88.0,8.9
tinovi-04,1742818500,-72.0,9.8
tinovi-05,1742818500,-79.0,8.9
tinovi-06,1742818500,-76.5,8.0
milesight-01,1742819400,-75.0,9.0
milesight-02,1742819400,-90.0,9.8
tinovi-01,1742819400,-82.0,9.3
tinovi-02,1742819400,-72.0,10.3
tinovi-03,1742819400,-90.0,9.3
tinovi-04,1742819400,-73.0,7.9
tinovi-05,1742819400,-77.0,9.5
tinovi-06,1742819400,-77.0,9.0
milesight-01,1742820300,-77.5,8.9
milesight-02,1742820300,-81.0,9.9
