nodeid,rdtimestamp,rssi,snr
tinovi-05,1711279800,-75.0,10.8
tinovi-06,1711279800,-80.5,9.1
milesight-01,1711280700,-73.0,8.3
milesight-02,1711280700,-80.0,8.8
tinovi-01,1711280700,-77.0,7.8
tinovi-02,1711280700,-83.0,7.5
tinovi-03,1711280700,-84.0,10.0
tinovi-04,1711280700,-93.5,8.5
tinovi-05,1711280700,-74.5,9.4
tinovi-06,1711280700,-80.0,7.3
milesight-01,1711281600,-72.5,9.8
milesight-02,1711281600,-80.0,7.5
tinovi-01,1711281600,-78.5,9.4
tinovi-02,1711281600,-83.0,9.8
tinovi-03,1711281600,-82.0,8.6
tinovi-04,1711281600,-93.0,9.0
tinovi-05,1711281600,-73.0,9.0
tinovi-06,1711281600,-81.0,9.1
milesight-01,1711282500,-73.0,9.5
milesight-02,1711282500,-83.0,8.8
tinovi-01,1711282500,-77.0,9.0
tinovi-02,1711282500,-82.0,7.8
tinovi-03,1711282500,-83.0,9.5
tinovi-04,1711282500,-87.0,8.4
tinovi-05,1711282500,-75.0,8.6
tinovi-06,1711282500,-81.0,7.3
milesight-01,1711283400,-72.5,8.6
milesight-02,1711283400,-80.0,9.6
tinovi-01,1711283400,-77.0,8.6
tinovi-02,1711283400,-84.0,9.9
tinovi-03,1711283400,-81.0,8.0
tinovi-04,1711283400,-89.0,9.0
tinovi-05,1711283400,-75.0,10.3
tinovi-06,1711283400,-83.0,9.5
milesight-01,1711284300,-74.0,9.5
milesight-02,1711284300,-85.0,7.5
tinovi-01,1711284300,-81.0,10.3
tinovi-02,1711284300,-85.0,10.3
tinovi-03,1711284300,-80.0,8.5
tinovi-04,1711284300,-89.0,9.1
tinovi-05,1711284300,-74.0,8.5
tinovi-06,1711284300,-83.0,9.5
milesight-01,1711285200,-72.0,8.4
milesight-02,1711285200,-81.5,10.3
tinovi-01,1711285200,-77.0,8.5
tinovi-02,1711285200,-82.0,8.6
tinovi-03,1711285200,-84.5,9.3
tinovi-04,1711285200,-91.0,6.8
tinovi-05,1711285200,-75.0,8.5
tinovi-06,1711285200,-80.0,8.0
milesight-01,1711286100,-71.0,9.5
milesight-02,1711286100,-85.0,10.0
tinovi-01,1711286100,-77.0,9.3
tinovi-02,1711286100,-83.0,10.0
tinovi-03,1711286100,-84.0,7.5
tinovi-04,1711286100,-94.0,9.1
tinovi-05,1711286100,-77.0,9.8
tinovi-06,1711286100,-83.0,9.5
milesight-01,1711287000,-72.0,8.6
milesight-02,1711287000,-83.5,8.0
tinovi-01,1711287000,-78.5,9.8
tinovi-02,1711287000,-78.5,9.0
tinovi-03,1711287000,-83.0,9.6
tinovi-04,1711287000,-91.0,7.3
tinovi-05,1711287000,-76.0,8.8
tinovi-06,1711287000,-82.0,8.3
milesight-01,1711287900,-73.0,9.5
milesight-02,1711287900,-81.0,7.8
tinovi-01,1711287900,-76.0,9.3
tinovi-02,1711287900,-81.0,10.0
tinovi-03,1711287900,-83.0,7.3
tinovi-04,1711287900,-90.5,8.0
tinovi-05,1711287900,-77.0,9.0
tinovi-06,1711287900,-83.0,10.0
milesight-01,1711288800,-72.5,9.5
milesight-02,1711288800,-85.0,9.3
tinovi-01,1711288800,-79.0,8.9
tinovi-02,1711288800,-82.0,9.9
tinovi-03,1711288800,-81.5,9.5
tinovi-04,1711288800,-93.0,9.3
tinovi-05,1711288800,-77.0,8.1
tinovi-06,1711288800,-80.5,8.8
milesight-01,1711289700,-73.0,9.8
milesight-02,1711289700,-79.0,6.8
tinovi-01,1711289700,-80.0,9.3
tinovi-02,1711289700,-83.0,9.8
tinovi-03,1711289700,-83.0,8.8
tinovi-04,1711289700,-90.0,8.6
tinovi-05,1711289700,-77.0,10.5
tinovi-06,1711289700,-81.0,9.5
milesight-01,1711290600,-72.0,8.8
milesight-02,1711290600,-81.0,9.1
tinovi-01,1711290600,-78.5,8.6
tinovi-02,1711290600,-81.0,9.1
tinovi-03,1711290600,-81.5,7.8
tinovi-04,1711290600,-91.0,9.3
tinovi-05,1711290600,-75.0,9.4
tinovi-06,1711290600,-82.0,8.8
milesight-01,1711291500,-73.0,9.0
milesight-02,1711291500,-81.0,10.3
tinovi-01,1711291500,-80.0,9.3
tinovi-02,1711291500,-81.0,9.8
tinovi-03,1711291500,-81.0,8.5
tinovi-04,1711291500,-93.5,8.1
tinovi-05,1711291500,-75.0,9.3
tinovi-06,1711291500,-83.0,9.5
milesight-01,1711292400,-73.0,9.6
milesight-02,1711292400,-96.0,9.4
tinovi-01,1711292400,-78.5,10.1
tinovi-02,1711292400,-78.0,8.9
tinovi-03,1711292400,-81.5,8.3
tinovi-04,1711292400,-91.0,9.5
tinovi-05,1711292400,-77.0,9.3
tinovi-06,1711292400,-82.0,8.3
milesight-01,1711293300,-73.0,9.8
milesight-02,1711293300,-92.0,7.5
tinovi-01,1711293300,-79.0,7.5
tinovi-02,1711293300,-79.0,10.0
tinovi-03,1711293300,-85.0,9.3
tinovi-04,1711293300,-90.5,9.3
tinovi-05,1711293300,-77.0,10.5
tinovi-06,1711293300,-83.0,9.8
milesight-01,1711294200,-72.5,9.8
milesight-02,1711294200,-85.0,9.0
tinovi-01,1711294200,-80.0,9.9
tinovi-02,1711294200,-77.5,9.5
tinovi-03,1711294200,-82.0,9.6
tinovi-04,1711294200,-91.0,9.0
tinovi-05,1711294200,-75.0,8.9
tinovi-06,1711294200,-81.0,9.3
milesight-01,1711295100,-71.0,7.8
milesight-02,1711295100,-80.0,9.8
tinovi-01,1711295100,-78.0,7.8
tinovi-02,1711295100,-78.0,7.5
tinovi-03,1711295100,-81.0,9.3
tinovi-04,1711295100,-94.5,7.9
tinovi-05,1711295100,-73.0,8.8
tinovi-06,1711295100,-79.0,7.3
milesight-01,1711296000,-73.5,8.8
milesight-02,1711296000,-80.5,9.3
tinovi-01,1711296000,-76.0,10.0
tinovi-02,1711296000,-78.0,9.4
tinovi-03,1711296000,-82.0,8.0
tinovi-04,1711296000,-93.0,8.8
tinovi-05,1711296000,-74.5,9.6
tinovi-06,1711296000,-81.0,8.9
milesight-01,1711296900,-72.0,10.5
milesight-02,1711296900,-85.0,10.3
tinovi-01,1711296900,-78.0,10.0
tinovi-02,1711296900,-77.0,7.3
tinovi-03,1711296900,-81.0,9.8
tinovi-04,1711296900,-93.0,7.6
tinovi-05,1711296900,-75.0,7.5
tinovi-06,1711296900,-80.0,7.0
milesight-01,1711297800,-71.5,8.3
milesight-02,1711297800,-87.0,9.9
tinovi-01,1711297800,-76.0,9.0
tinovi-02,1711297800,-78.0,9.8
tinovi-03,1711297800,-83.0,8.3
tinovi-04,1711297800,-95.0,9.8
tinovi-05,1711297800,-76.0,9.8
tinovi-06,1711297800,-81.0,8.8
milesight-01,1711298700,-72.0,10.3
milesight-02,1711298700,-80.0,10.3
tinovi-01,1711298700,-78.0,9.5
tinovi-02,1711298700,-79.0,9.3
tinovi-03,1711298700,-85.0,9.5
tinovi-04,1711298700,-92.5,9.3
tinovi-05,1711298700,-73.0,7.3
tinovi-06,1711298700,-83.0,9.8
milesight-01,1711299600,-71.5,9.3
milesight-02,1711299600,-78.5,9.8
tinovi-01,1711299600,-77.5,9.3
tinovi-02,1711299600,-78.0,8.3
tinovi-03,1711299600,-83.0,8.6
tinovi-04,1711299600,-91.0,6.8
tinovi-05,1711299600,-74.5,9.5
tinovi-06,1711299600,-80.5,8.3
milesight-01,1711300500,-73.0,10.3
milesight-02,1711300500,-87.0,10.5
tinovi-01,1711300500,-77.0,9.5
tinovi-02,1711300500,-77.0,9.3
tinovi-03,1711300500,-83.0,7.3
tinovi-04,1711300500,-98.5,8.1
